2018-03-24 13:07:01.937  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'wisely2Settings' of type [com.example.service.impl.Wisely2Settings$$EnhancerBySpringCGLIB$$192abe53] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:01.941  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'springContextUtil' of type [com.example.utils.SpringContextUtil] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:01.957  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'localeResolver' of type [org.springframework.web.servlet.i18n.SessionLocaleResolver] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:01.962  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'localeChangeInterceptor' of type [org.springframework.web.servlet.i18n.LocaleChangeInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:01.974  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'cache' of type [org.springframework.data.redis.cache.RedisCache] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:01.982  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'user111111111111111111111111' of type [com.example.entity.User] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:01.986  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration' of type [org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration$$EnhancerBySpringCGLIB$$a2ba08c7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:01.992  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$$EnhancerBySpringCGLIB$$6afabe27] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:02.000  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties' of type [org.springframework.boot.autoconfigure.jackson.JacksonProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-03-24 13:07:02.009  INFO 12476 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'standardJacksonObjectMapperBuilderCustomizer' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$StandardJackson2ObjectMapperBuilderCustomizer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
